name,heat,carbohydrate,fat,protein
猪肉片炒豆腐,163,5.92,12.95,6.15
沙锅炖鸡块,106,1.15,6.71,10.33
花生仁炖猪蹄,347,7.61,26.03,22.44
自制扒鸡,175,2.93,10.98,16.07
莴笋烧肉片,108,3.67,7.59,6.66
蔬菜扒素肠,90,5.87,4.63,6.94
香菇山药,66,10.46,2.33,1.73
菜胆扒鱼圆,113,1.14,6.75,12.34
干炒平菇,113,4.62,8.8,5.21
玉米小米粥,47,9.79,0.43,1.30
滑溜羊里脊,130,6.83,5.7,12.88
牛肉香菇馅儿饺,152,20.23,5.56,7.12
烤肉片,150,3.05,7.2,18.30
上汤菠菜,10,1.30,0.1,1.01
酥烤鸡腿,181,2.38,12.33,15.16
挂霜荸荠,235,45.75,5.75,0.68
香煎皮蛋饼,164,5.22,11.08,10.77
火腿烩豌豆,176,23.74,6.43,7.91
西红柿鸡蛋汤,32,1.05,2.13,2.34
清炖鲫鱼,96,2.67,4.33,11.64
富贵有鱼,113,4.01,5.55,12.67
芥末牛百叶,241,1.64,20.92,11.60
菠汁红烧肉,347,3.70,34.2,5.24
炖鸡翅,170,5.84,11.25,11.30
鸡柳串烧,116,8.17,3.35,13.49
红茶香油饼,434,59.98,15.88,9.89
金蒜五花肉,539,4.19,54.65,7.88
拌白菜土豆丝,80,11.47,3.36,2.08
素粉蒸肉,138,16.88,7.17,2.17
炒上海青,53,3.53,3.95,1.68
椒炝芥蓝,104,1.49,9.32,2.73
玫瑰腐乳排骨,285,9.04,21.73,13.38
冬瓜丸子粉丝汤,70,10.11,1.89,3.49
鲈鱼蒸豆腐,108,2.44,4.68,14.53
丝瓜炒毛豆,83,7.74,4.35,4.17
菜煎饼,151,16.01,6.92,7.26
清蒸蛋羹,61,1.10,4.02,5.16
酸菜炖鲶鱼,126,1.32,9.28,9.15
豆芽炖排骨,126,2.39,9.61,7.18
冬菇扒茼蒿,73,5.37,5.48,1.84
黄豆炖排骨,286,14.55,17.35,23.80
风味老鸭煲,76,0.72,6.07,4.88
白灼番薯叶,68,8.84,1.94,4.71
四喜肉圆,100,9.35,5.78,3.45
栗子红烧肉,183,11.85,12.8,5.79
甜辣脆皮鱼,175,9.44,10.75,11.21
糖醋脆皮豆腐,161,17.80,6.65,7.48
清蒸腊肉,558,0.33,57.89,9.15
翡翠鸡块南瓜,115,8.35,6.02,7.75
豆腐炖鱼,131,3.77,7.51,12.39
清蒸白鲢,96,1.41,5.45,10.52
龙脂猪血,52,2.43,0.83,9.39
素烧冬瓜,31,2.22,2.18,0.43
麻辣香肠,330,4.13,29.78,11.73
蘑菇炖鸡,126,2.06,6.85,14.61
香豉牛肉片,146,5.01,9.47,11.01
家常炖黄花鱼,159,1.32,10.38,15.13
五香蚕豆,103,19.40,0.42,8.65
鱼香肉丝,159,3.41,9.49,15.25
豆沙包,319,67.57,1.12,9.37
红豆包,224,50.55,0.53,5.80
大拌菜(自制),79,8.22,4.45,3.24
乌鱼汤,63,0.06,2.93,8.86
炒莴笋,29,3.43,1.34,1.14
冬瓜番茄汤,11,1.32,0.41,0.36
火腿焖冬瓜,101,2.79,7.8,4.96
清炖乌鸡,37,0.15,0.75,7.30
蒸面条,106,16.86,1.55,6.36
自制酸白菜,31,5.44,0.42,1.42
三味炖大鹅,110,3.85,7.25,6.03
香酥鸭子,265,0.73,22.88,14.21
鸡蛋蒸肉丸,225,5.02,18.97,8.73
拌小白菜,64,3.15,5.29,2.01
莴苣叶煎蛋汤,37,1.30,2.12,3.35
剁椒鱼头,127,6.50,3.83,14.11
咖喱素鸡,213,13.72,13.12,12.08
姜汁地瓜条,116,21.68,2.62,1.48
宫爆墨鱼仔,185,9.37,10.03,15.21
五彩果醋蛋饭,165,18.09,7.87,7.24
黄酒煎鱼,164,1.29,11.18,14.73
侉炖鱼块,77,3.49,5.14,4.58
白灼芥兰,37,2.78,1.95,2.76
椒油炝蒜苗,69,6.82,4.39,2.54
炝莲菜,86,17.42,1.81,2.36
旱蒸南瓜,37,6.13,1.26,1.13
椒油土豆丝,183,18.18,12.1,2.00
干煸鱿鱼须,56,2.82,1.36,8.77
凉拌木耳菜,31,4.01,0.8,1.89
苦瓜炒肉,108,3.08,6.23,10.24
特味麻辣鱼,174,6.48,12.57,10.56
白菜鸡蛋肉卷,202,4.04,17.57,7.27
豆豉烧苦瓜,167,6.61,15.4,1.72
蒜蓉冬瓜,36,4.06,2.01,0.81
凉拌魔芋丝,24,3.36,1.1,0.83
海带炖冻豆腐,47,1.36,3.4,2.80
酸辣土豆丝,122,14.43,5.77,2.25
清炖牛腩,214,2.51,18.23,11.41
清拌苦瓜丝,46,4.46,2.31,1.21
水煮牛肉,94,6.51,3.35,10.62
炸熘丸子,302,13.37,25.06,6.52
萝卜汤,6,1.52,0.04,0.28
炒鳝鱼丝,272,21.88,16.15,9.78
炸黄花鱼,164,0.79,11.15,15.41
油爆凤尾虾,135,3.19,7.34,14.11
山药排骨盅,83,5.05,4.92,4.87
芝麻酱拌生菜,76,4.17,5.97,2.31
摊糊饼,176,32.46,2.8,8.02
香酥花生米,476,22.14,37.74,20.14
鲜甜瓜条,49,11.37,0.19,0.80
糖醋白菜卷,50,5.95,2.06,2.67
鲫鱼冻,170,5.92,10.59,14.43
紫菜虾皮冬瓜汤,24,1.42,1.54,1.15
清蒸狮子头,169,1.49,15.53,5.97
珍珠丸子,341,19.13,24.26,11.68
薏米萝卜猪蹄汤,92,3.53,5.83,6.44
泡椒焖鸡翅,224,8.11,15.56,12.52
太阳肉,135,3.22,6.37,15.98
荷香蒸排骨,212,2.27,16.94,12.39
蚂蚁上树,198,33.45,6.54,2.07
家常黄花鱼,149,5.82,7.92,13.82
咖喱千张,318,15.21,14.83,31.96
酱汁油菜,97,7.17,6.73,2.81
山药煲排骨,131,8.62,7.55,7.83
鲜熘鳕鱼,86,2.92,2.73,12.92
红枣糕,346,67.10,6.11,6.37
肉丝炒丝瓜,149,2.97,11.2,9.44
红烧带鱼,170,5.45,10.68,13.27
宫保鸡丁,127,7.37,7.01,9.71
红烧小黄花,105,3.86,4.99,11.62
清蒸白鱼,122,0.46,6.64,15.16
莴笋炒肉片,77,3.29,4.03,6.97
青椒爆鸭舌,218,5.17,17.0,11.60
菠菜汤,34,1.61,2.65,1.09
蒜蓉西兰花,69,6.95,3.13,3.98
炝莴苣腐竹,178,10.23,7.72,18.30
家常蛋炒饭,152,21.38,5.02,5.78
蒸红薯,55,13.91,0.18,0.64
醋溜素鸡,196,10.49,14.02,7.86
酸辣白肉丝,186,4.52,15.5,6.57
红烧草鱼,141,0.41,8.97,14.76
鲜蘑丝瓜汤,19,1.75,1.08,0.63
玉米猪骨汤,64,3.96,4.02,3.43
浇汁咸蛋肉饼,227,4.62,16.11,15.78
剁椒欢喜鱼,121,1.36,6.45,15.15
虾子炝芹菜,37,4.13,0.43,4.01
豆沙香蕉饼,260,40.96,9.01,5.80
熘豆芽,35,2.49,1.39,2.33
姜葱爆猪肝,230,11.38,14.08,14.56
冬笋土鸡煲,103,3.61,6.26,8.19
腊八粥,53,8.37,1.49,2.45
麻辣牛杂汤,65,1.86,4.17,4.42
腐竹烧肉,486,13.42,39.37,20.78
酒酿冲蛋,176,21.94,3.45,5.84
红烧大排,248,5.25,18.96,14.08
栗子煨鸡块,118,8.58,4.36,9.91
锅塌多维豆腐,114,3.98,7.1,8.75
白斩鸡,172,2.71,9.99,17.85
椰香芋头蒸排骨,171,13.02,9.95,9.01
萝卜栗子羊肉煲,54,6.03,1.73,4.82
炒鸡蛋,162,2.30,11.46,12.58
肉丝焖扁豆,95,5.90,4.6,8.14
百合薏米绿豆粥,88,18.96,0.38,2.58
侉炖鱼,140,0.28,11.97,7.71
凤菇乌鸡汤,57,0.45,1.41,10.68
骨头汤,39,3.52,1.86,2.18
红烧鳗鱼,192,4.17,13.84,12.31
素狮子头,132,15.79,5.96,5.33
回锅肉,447,2.97,45.22,7.41
金针扒芥蓝,54,3.97,3.87,2.66
麻辣小黄鱼,283,3.13,25.27,11.99
红烧豆腐盖浇饭,98,13.44,3.34,4.12
土豆炖牛肉,101,5.44,4.14,10.49
春饼,205,36.14,4.9,4.95
豉椒炒海蟹,143,5.32,8.35,11.88
鸡蛋羹,60,1.18,3.81,5.22
蒜末黄瓜,20,2.96,0.2,1.11
清炒苋菜,52,5.13,2.69,2.74
菠菜炒鸡蛋,105,3.42,7.06,7.16
熘鸡蛋饺,309,19.53,22.06,7.98
马蹄肉末烩豌豆,217,9.95,16.87,6.99
凉拌圆白菜,52,6.86,1.75,1.72
莲子银耳炖雪梨,62,14.82,0.28,2.02
爆炒圆白菜,49,4.14,2.4,1.81
油焖鳊鱼,115,2.03,8.91,6.41
酸辣莲藕,107,17.51,4.22,2.48
肉末蒸蛋羹,62,2.24,4.55,3.13
糖醋炝圆白菜,78,8.84,4.71,1.74
胡萝卜甜玉米猪骨汤,64,6.20,3.1,3.46
豌豆烧茄子,107,11.07,7.01,1.82
豉汁酸辣鱼,336,4.82,30.61,10.99
毛豆煎臭豆腐,277,7.18,24.17,10.33
西兰花炒肉片,104,4.70,5.63,8.75
小笼粉蒸牛肉片,109,9.57,4.34,8.09
鸡蛋炒苦瓜,138,3.98,10.91,6.52
煎滑蛋青瓜,220,2.45,20.3,6.91
五香豆腐,84,8.57,2.6,6.15
红烧荷包蛋,211,6.18,15.98,10.60
烧南瓜,38,3.87,2.3,0.71
萝卜筒骨汤,35,1.43,1.74,5.97
肉末南瓜,72,7.95,2.85,4.28
炝菜花,52,4.77,3.43,1.93
鱼香茄子,81,9.26,3.5,3.80
鸡蛋卷,350,41.03,18.19,5.52
花菇蒸鸡,196,4.40,13.32,14.24
炝汁白菜,74,5.13,4.3,3.60
清炒芹菜,44,5.00,2.49,1.23
莴苣肉片,68,3.75,3.25,5.82
土豆鸡蛋色拉,98,10.28,4.0,4.82
菜包子,130,23.99,1.65,5.86
小葱拌豆腐,60,3.48,3.23,4.32
猪血青菜汤,13,0.66,0.12,2.46
砂锅鸡肉冬瓜汤,36,1.00,1.92,3.95
大骨头汤,40,0.14,2.35,7.83
干煸鳝背,122,4.17,5.4,13.93
海带炖肉,316,2.59,31.65,5.72
鸡蛋南瓜饼,147,14.43,7.15,6.68
四季豆煸雪里蕻,55,6.38,3.08,2.27
土豆鸡翅膀,200,9.89,14.08,8.75
宫爆肉丁,139,8.35,8.19,7.85
蒜泥豆角,59,4.94,3.07,2.22
肉炖芸豆粉条,97,12.26,4.69,0.94
西芹百合,73,8.89,4.17,1.21
糖醋皮蛋,176,24.20,5.75,7.01
绿豆老鸭汤,73,2.69,4.72,4.71
鸡米花,197,25.53,4.0,15.03
红烧鸡翅,192,7.62,10.63,15.66
糖醋菠萝排骨,235,4.32,19.19,11.46
糖醋豆腐丁,138,8.75,9.01,5.95
香菇肉馅酿豆腐,207,9.24,16.71,7.34
干锅肥肠,267,4.75,24.73,5.61
椒油拌莴笋丝,52,5.00,3.26,1.36
炸圆子,323,2.48,29.19,12.70
甜酱莴笋,64,13.38,0.31,2.85
五香熏鱼,174,6.13,7.68,18.22
无油大饼,200,42.71,0.92,6.43
家常烧鲤鱼,151,3.02,9.23,14.25
清炒茄子,72,7.07,4.53,1.40
烧汁牛蛙腿,126,6.18,4.86,14.27
醋溜白菜,44,3.72,2.8,1.56
韩国泡菜,41,3.60,1.58,1.97
清蒸鳗鱼,188,2.63,12.5,15.98
土豆炖茄子尖椒,47,6.82,1.8,1.24
酸豆角,41,7.10,0.53,2.06
菠菜粉皮,49,7.51,1.72,2.19
萝卜清汤,12,2.00,0.47,0.34
蘑菇蒸鸡块,124,2.30,6.7,13.35
蛋包饭,133,20.96,3.63,4.12
千张烧肉,230,2.99,19.55,10.62
小白菜鸡蛋馅饼,163,24.45,5.39,5.13
娃娃菜炖冻豆腐,63,3.96,3.67,4.47
大白菜烧元子,69,2.03,5.65,2.86
糖醋茭白,32,6.22,0.19,1.31
家常麻饼,304,41.50,11.88,7.61
酱油菜根,21,3.85,0.1,1.91
芹菜炒肉末,93,5.96,4.88,6.80
清炒黄豆芽,73,4.49,4.58,4.35
红烧茄子,61,10.20,1.96,2.04
红烧爆鱼,126,1.07,5.63,16.52
肉片冬瓜汤,23,0.93,1.02,2.61
肉末海参,124,14.25,4.77,6.72
口蘑扒菜心,89,8.15,2.49,8.73
土豆炒刀豆,84,11.09,3.63,2.93
萝卜丝烩虾皮,114,17.81,3.25,4.07
蛋夹里脊肉,158,3.35,9.61,14.51
虾干紫菜汤,60,3.74,2.99,6.10
苦瓜摊鸡蛋,205,3.24,18.64,6.48
青椒苦瓜,51,4.98,3.36,1.11
笑微微 休闲e家(酱香牛排味虾条),502,57.00,18.0,14.50
露怡 露依蝴蝶酥,540,63.00,30.0,5.00
和路雪 迷你千层雪香草口味冰淇淋,239,23.75,14.88,2.63
苹果脯,340,84.90,0.1,0.60
凤尾酥,511,64.20,25.3,6.60
法式卷饼,535,54.70,34.0,7.60
爱尚 非蛋糕草莓味,382,50.00,18.0,5.00
花生牛轧糖,432,75.40,12.3,4.90
酸三色糖,397,98.40,0.4,0.00
饼干(苏打夹心),463,69.80,19.3,7.60
皇族日式综合麻薯,327,75.67,2.33,0.33
好时 牛奶巧克力,525,60.00,30.0,7.50
脆美司 蔬菜味棒饼,500,68.75,21.88,6.25
旺旺 哎呦 椰蓉乳味高纤酥米条,445,69.00,16.0,5.70
欧蔓莎 代可可脂巧克力,495,42.11,31.58,10.53
蒙牛随变魔力炫黑加仑酸奶口味雪糕,179,23.20,7.7,1.30
诺丁 香榭美提提子饼干,412,48.20,21.0,7.60
立檬 美的Style糖,180,68.00,0.0,1.20
jhornton's 75% balsmic风味黑巧克力,558,26.60,46.6,8.10
森永 草莓牛奶糖,418,84.00,8.2,2.00
卡夫 趣多多巧克力曲奇饼(香橙味),493,66.10,24.5,4.50
明治 葡萄柚牛奶雪糕,136,16.10,6.8,2.40
月饼(五仁),424,64.00,16.0,8.00
乐滋 草莓脆,363,87.20,0.13,3.20
德庆酥,464,70.00,18.7,5.90
德芙 榛仁果粒巧克力,544,58.80,31.9,6.20
佳梅 真之话梅,180,40.10,0.1,5.00
长思 大红枣,279,65.50,0.6,2.00
可爱多 非常曲奇奶风口味冰激凌,306,38.33,15.42,3.47
Dan-D pak Dan·D·Park Apple Rings苹果干,300,72.50,0.0,2.50
乐事 薯片鲜浓番茄味,530,56.00,31.0,5.00
顺旺 大红枣饼干,520,62.50,26.1,8.70
军用压缩饼干,460,67.60,17.8,7.90
和路雪 经典品味香草之悦冰淇淋,195,23.10,10.1,3.00
悠哈 特浓抹茶牛奶糖,420,83.50,8.25,3.00
时兴隆 鱿鱼丝,333,16.60,0.0,66.67
悠哈 特浓牛奶糖(条装),399,75.50,9.1,2.80
精益珍 沙琪玛蛋酥味,426,31.30,22.91,6.96
徐福记橡皮糖,308,30.00,12.0,20.00
冰淇淋(苦咖啡味),205,25.60,10.1,2.90
晶点 香酥红豆(姜汁味),384,27.00,21.0,22.00
伦敦 草莓瑞士卷,423,55.00,19.55,6.82
日清 香脆片香辣鸡味,470,69.30,18.1,7.70
雅格丝 葡萄干橙味朗姆酒夹心超细纯巧克力,423,73.40,13.7,1.40
和路雪 摇摇杯,120,17.33,4.67,1.33
屈臣氏优酪果冻,90,24.00,0.0,0.00
优之良品魔力纤乳酸蓝莓,350,81.50,0.9,4.10
不二家 巧克力夹心糖,423,83.90,8.5,2.80
夹心酥饼,482,59.70,24.7,5.30
状元饼,437,68.10,14.7,8.60
金奖章 蜂窝纯黑巧克力(72%),507,34.90,36.5,8.40
鲜桃果汁糖,397,98.80,0.2,0.00
嘉顿 原味梳打饼干,440,72.70,11.4,10.70
月饼(百寿宴点),435,55.30,22.1,5.10
帕斯卡 牛奶巧克力布丁(甜点心),101,18.40,1.6,3.20
HAWAII'S 香蕉片,533,66.67,26.67,0.00
冻顶 茶梅,280,68.70,0.0,1.30
加勒 蓝巧克力(百分之170),538,32.00,42.0,7.40
月饼(奶油连芸),361,60.40,13.0,5.50
阿尔善 风干牛肉,235,1.20,6.3,41.90
雀巢 脆脆鲨黑芝麻味夹心,517,56.50,29.0,6.50
混糖糕点,455,69.50,16.3,7.90
格林梦 巧克力(五味杂全),605,45.00,42.0,8.00
佳梅 真之甘草芒果丁,262,62.80,0.6,1.40
吉百利 维果-C,392,94.00,0.0,0.00
趣多多软式甜饼经典巧克力味,467,62.70,21.7,3.80
卡夫 太平全麦消化饼(原味),469,68.50,21.1,6.70
trident 口香糖,294,74.00,0.0,0.00
好巴食 南溪豆腐干 泡椒味,327,30.91,16.36,14.55
麦当劳奶昔(香草味),155,27.12,3.67,3.67
奶油(焦克),447,0.00,48.3,3.00
哈骑士 黑巧克力(65%),550,41.00,40.0,7.00
老鼎丰 黄图蛋糕,415,51.00,21.0,6.00
日正 特选黑糖,373,93.33,0.0,0.00
佳梅 真之应子(袋装),281,66.00,1.0,1.30
赛梦 72%迷你黑巧克力,562,29.00,44.0,8.40
中洋宝 欧式蛋糕,380,51.00,18.0,6.00
阿尔卑斯巧克力夹心榛仁太妃糖,389,75.70,8.0,2.70
杜老爷低脂寒天雪糕(牛奶),118,19.00,3.0,3.86
星巴克 果汁软糖,318,72.60,0.2,4.90
优之良品蓝莓,271,65.90,0.0,0.80
