rank,en,zh
116,there,"[ðєә, ðә]
adv.
在那里"
117,work,"[wә:k]
n.
工作, 劳动, 操作, 职业, [物]功, 手工, 作品, 机件
v.
(使)工作, (使)运转, 起作用, 造成, 产生, 经营, (使)渐渐移动, 煅制"
118,down,"[daun]
adj.
向下的
adv.
向下, 在下面, 下去, 降下
prep.
往下, 沿着
n.
绒毛, 软毛, 开阔的高地"
119,may,"[mei, me]
aux.
可能, 也许, 可以, 祝, 愿
n.
(May) 五月, 能, 可能"
120,after,"['ɑ:ftә]
adv.
prep.conj.在...之后, 在...后面, 模仿, 与...一致, 以...命名, 后来的, 后面的"
121,should,"[ʃud, ʃәd, ʃd]
v.
aux.应该, 将要"
122,call,"[kɔ:l]
n.
喊声, 叫声, 命令, 号召, 访问, 叫牌, 通话, 必要
v.
呼叫, 召集, 称呼, 认为, 命名, 打电话"
123,world,"[wә:ld]
n.
世界, ...界, 世事, 世故, 社会
adj.
世界的"
124,over,"['әuvә]
adv.
结束, 越过, 从头到尾
prep.
在...之上, 越过
adj.
上面的
vt.
额外的东西, 越过
n.
额外的东西"
125,school,"[sku:l]
n.
学校, 学院, 学习, 授课, 求学, 全体学生, 学派
vt.
锻炼, 教育"
126,still,"[stil]
n.
寂静, 剧照, 照片
adj.
静止的, 静寂的
adv.
还, 仍, 更, 还要, 尽管如此, 依然
静止画面,静态图片"
127,try,"[trai]
n.
尝试
v.
试, 试图, 努力, 试验, 磨难, 考验, 审问"
128,in,"[in]
prep.
在...之内(上), 在...期间, 从事于, 符合, 穿着
adv.
进入, 朝里, 在家, 已到达(来临)
adj.
在里面的, 执政的
n.
执政者, 入口
[域] India , 印度"
129,as,"[æs]
adv.
同样地, 被看作, 象
prep.
当做
conj.
与...一样, 当...之时, 象, 因为
[域] American Samoa, 东萨摩亚
abbr.
[军] Air to Surface, 空对地"
130,last,"[lɑ:st]
adj.
最后的, 临终的, 末尾的, 最近的, 结论性的
vi.
持续, 支持, 维持
vt.
使维持, 楦
adv.
最后, 后来
n.
最后, 末尾, 临终, 鞋楦头"
131,ask,"[ɑ:sk]
vi.
询问, 问, 要求
vt.
问, 要求, 需要, 邀请"
132,need,"[ni:d]
n.
需要, 必需, 必需品, 要求, 贫困
vt.
需要
modal v.必要, 必须"
133,too,"[tu:]
adv.
也, 太过份"
134,feel,"[fi:l]
vt.
摸, 触, 试探, 感觉, 觉得, 触摸, 以为
vi.
有知觉, (人)有某种感觉, 摸索, 同情
n.
感觉, 觉得, 触摸"
135,three,"[θri:]
num.
三"
136,when,"[(h)wen]
conj.
就在那个时候, 在...的时候
adv.
什么时候, ...的时候
pron.
什么时侯, 那时"
137,state,"[steit]
n.
情形, 状态, 国家, 政府, 州
adj.
国家的, 国有的, 国营的, 州的, 正式的, 典礼用的
vt.
声明, 陈述, 规定"
138,never,"['nevә]
adv.
决不, 从未"
139,become,"[bi'kʌm]
vi.
变成, 成为, 变得
vt.
适合, 相称"
140,between,"[bi'twi:n]
prep.
在...之间, 连接...,由...协力合作"
141,high,"[hai]
n.
高度, 高处
adj.
高的, 高原的, 高等的, 高音的, 傲慢的, 高尚的, 昂贵的, 严重的
adv.
高度地, 奢侈地, 高价地"
142,really,"['riәli]
adv.
真正地, 实在地, (表语气)真的吗?"
143,something,"['sʌmθiŋ]
pron.
某事, 某物
adj.
有点象, 大约"
144,most,"[mәust]
adj.
最多的, 多数的, 大部分的
adv.
最, 最多, 很, 十分, 最, 最大的, 其中大多数, 极其
n.
大多数, 大部分"
145,another,"[ә'nʌðә]
adj.
另外的, 又一, 不同的
prep.
另一个, 另一个人, 同类的东西"
146,much,"[mʌtʃ]
adj.
许多的, 大量的
adv.
非常, 很, ...多, 更加, 非常, 得多, 多达, 多得多
n.
许多, 大量
num.
许多"
147,family,"['fæmili]
n.
家庭, 家族, 家属, 亲属, 子女, 僚属
adj.
家庭的, 家族的"
148,own,"[әun]
adj.
自己的, 特有的, (不用所有格)嫡亲的, 同胞的
vt.
拥有, 自认, 承认
vi.
承认"
149,out,"[aut]
adj.
外面的, 下台的, 出局的
adv.
在外, 出声地, 显露出来地, 明显地, 从头至尾地
n.
外面, 外出, 外观
vt.
赶出, 击倒, 使退场
vi.
外出, 暴露
prep.
通过"
150,leave,"[li:v]
n.
许可, 同意, 请假, 休假
vt.
离开, 动身, 剩下, 遗忘, 委托, 遗弃
vi.
出发, 离开, 生叶, 动身"
151,put,"[pʌt]
vt.
放, 摆, 安置, 表达, 迫使, 移动, 提出, 赋予
vi.
出发, 航行, 发芽, 击
n.
掷, 投击, 笨蛋, 怪人
vbl.
put的过去式和过去分词
adj.
固定不动的"
152,old,"[әuld]
adj.
年老的, 老的, ...岁的, 陈旧的, 古老的"
153,while,"[(h)wail]
n.
一会儿, 时间
conj.
当...的时候, 虽然
vt.
消磨
prep.
<古><方>直到"
154,mean,"[mi:n, min]
adj.
低劣的, 卑鄙的, 普通的, 吝啬的, 简陋的, 平均的, 惭愧的, 不舒服的
vt.
意谓, 想要, 预定
vi.
用意, 有意义
n.
平均数, 中间, 中庸"
155,on,"[ɔn]
prep.
在...之上, 依附于, 临近, 靠近, 向, 在...时候, 关于, 涉及
adv.
在上, 向前, 行动中, 作用中"
156,keep,"[ki:p]
n.
保持, 保养, 生计, 监狱, [史]要塞
vt.
保持, 保存, 遵守, 经营, 看守, 拘留, 维持, 记(日记,帐等)
vi.
保持, 继续不断"
157,student,"['stju:dәnt]
n.
(大小学校的)学生, 研究者, 学者"
158,why,"[(h)wai]
adv.
为什么, ...的(理由)
int.
(表吃惊, 满意等)哎呀!什么?"
159,let,"[let]
vt.
假设, 出租, 允许, 排放, 让...进入(或通过), 妨碍
vi.
出租, (工程等)被承包
n.
出租屋, 障碍"
160,great,"[greit]
adj.
伟大的, 大的, 强烈的, 非常的, 主要的, 大写的, 重大的, 崇高的
adv.
顺利地, 得意地
n.
全部, 大人物, 大师"
161,same,"[seim]
adj.
同一的, 相同的, 无变化的, 上述的, 所谓
pron.
同样的事物
adv.
同样地"
162,big,"[big]
adj.
大的, 重要的, 量大的, 重要的
adv.
夸大地, 顺利"
163,group,"[gru:p]
n.
团体, 组, 团, 群, 批, [地]界, [化]基
v.
聚合, 成群"
164,begin,"[bi'gin]
v.
开始, 首先"
165,seem,"[si:m]
vi.
象是, 似乎"
166,country,"['kʌntri]
n.
国家, 国土, [总称]国民, 乡村, 故乡
adj.
乡下的, 乡村的, [方]祖国的, 故乡的"
167,help,"[help]
n.
帮忙, 补救办法, 助手, 治疗, <美>佣工
vt.
帮助, 助长, 接济, 治疗, 款待
vi.
有用, 救命, 招待
[计] 显示命令格式的简短概述"
168,talk,"[tɔ:k]
v.
谈话, 讲, 谈论, 议论, 说服某人做某事
n.
谈话, 会谈, 讲演, 讲话"
169,where,"[(h)wєә]
adv.
什么地方, 在哪里, ...的(地方)"
170,turn,"[tә:n]
n.
转动, 旋转, 转变方向, 轮流, 时机, (一)回, 倾向, 癖性
v.
(使)转动, 翻转, 扭转, (使)变质, 超过(年龄,数量等), 车(成)"
171,problem,"['prɔblәm]
n.
问题, 难题"
172,every,"['evri]
adj.
每一的, 每个的, 全部的, 每隔...的"
173,start,"[stɑ:t]
n.
动身, 出发点, 开始, 惊起, 惊跳, 赛跑的先跑权, 优先地位
v.
出发, 起程, 开始, 着手, 惊动, 惊起, 起动, 发动"
174,hand,"[hænd]
n.
手, 掌管, 协助, 支配, 插手, 指针, 雇员, 手艺
vt.
支持, 搀扶, 交给"
175,might,"[mait]
v.
(past tense, past participle of may
see may)
n.
力量, 威力, 权力, 能, 可能
aux.
可以"
176,American,"[ә'merikәn]
n.
美国人, 美洲人
adj.
美国的, 美洲的"
177,show,"[ʃәu]
n.
表示, 展览, 炫耀, 外观, 假装
v.
出示, 指示, 引导, 说明, 显示, 展出, 放映"
178,part,"[pɑ:t]
n.
部分, 局部, 零件, 角色
vt.
分开, 分离, 分配
vi.
分开, 断裂, 分手
adv.
部分地, 有几分
adj.
部分的, 局部的"
179,about,"['әbaut]
adv.
附近, 大约, 转向, 左右, 周围
prep.
在附近, 关于, 在...周围, 忙于"
180,against,"[ә'genst, ә'geinst]
prep.
相反, 反对, 逆着, 靠着, 倚着"
181,place,"[pleis]
n.
地方, 地点, 位置, 职位, 处境, 住所, 地位
vt.
放置, 寄予, 任命
vi.
名次列前"
182,over,"['әuvә]
adv.
结束, 越过, 从头到尾
prep.
在...之上, 越过
adj.
上面的
vt.
额外的东西, 越过
n.
额外的东西"
183,such,"[sʌtʃ, sәtʃ]
adj.
这样的, 这种, 某一
pron.
这样的人(们)或物"
184,again,"[ә'gein]
adv.
又, 再次, 此外, 再一次"
185,few,"[fju:]
adj.
很少的, 不多的, 少数的
n.
[表示否定]很少数, 几乎没有"
186,case,"[keis]
n.
事, 病例, 案例, 情形, 场合, 讼案, 容器, (语法)格"
187,most,"[mәust]
adj.
最多的, 多数的, 大部分的
adv.
最, 最多, 很, 十分, 最, 最大的, 其中大多数, 极其
n.
大多数, 大部分"
188,week,"[wi:k]
n.
星期, 周"
189,company,"['kʌmpәni]
n.
公司, 陪伴, (一)群, (一)队, (一)伙, 连, 连队"
190,where,"[(h)wєә]
adv.
什么地方, 在哪里, ...的(地方)"
191,system,"['sistәm]
n.
系统, 体系, 制度, 体制, 秩序, 规律, 方法"
192,each,"[i:tʃ]
adj.
各自的, 每个的, 每一
pron.
各, 各自, 每个
adv.
每个"
193,right,"[rait]
n.
正义, 公正, 正确, 权利, 右边, 右派
adj.
正当的, 正确的, 对的, 合适的, 恰当的, 健康的, 健全的, 正面的
adv.
正当地, 正确地, 一直地, 直接地, 完全地, 彻底地, 在右边"
194,program,"['prәugræm]
n.
节目, 程序, 纲要, 计划
vt.
规划, 拟...计划, 安排...入节目
vi.
安排节目, 编程序
(电脑)程序,(电视)节目"
195,hear,"[hiә]
vt.
听到, 听说, 听取, 审理, 允许
vi.
听见, 听到"
196,so,"[sәu; sә]
conj.
因而, 所以, 那么, 这样看来
adv.
[表示程度] 如此, 那么, 非常, 很, [表示方式] 这样, 那样, 如此, 因此
[域] Somalia , 索马里"
197,question,"['kwestʃәn]
n.
问题, 疑问, 询问
v.
询问, 审问, 怀疑"
198,during,"['djuәriŋ]
prep.
在...的期间, 在...的时候"
199,work,"[wә:k]
n.
工作, 劳动, 操作, 职业, [物]功, 手工, 作品, 机件
v.
(使)工作, (使)运转, 起作用, 造成, 产生, 经营, (使)渐渐移动, 煅制"
200,play,"[plei]
n.
游戏, 比赛, 运动, 赌博, 剧本
v.
玩, 扮演, 播放, 进行比赛
v.
播放"
201,government,"['gʌvәnmәnt]
n.
政府, <英>内阁, 政治, 政体"
202,run,"[rʌn]
n.
跑, 赛跑, 奔跑, 运转, 趋向
vi.
跑, 奔, 逃跑, 竞选, 跑步, 蔓延, 进行, 行驶
vt.
使跑, 参赛, 追究, 使流, 管理, 运行, 开动
adj.
熔化的, 融化的, 浇铸的
vbl.
run的过去式和过去分词"
203,small,"[smɔ:l]
adj.
小的, 少的"
204,number,"['nʌmbә]
n.
数, 数字, 数量, 号码, 算术, 诗, 韵律
v.
遍号码, 共计..., 计入, 计算, 算入"
205,off,"[ɔ:f, ɔf]
adj.
远的, 空闲的, 不工作的
adv.
离开, 在远方, 离去, 分离, 中断, 完成
prep.
从...离开, 脱离"
206,always,"['ɔ:lwәz, 'ɔ:lweiz]
adv.
总是, 永远, 始终"
207,move,"[mu:v]
n.
移动, 迁居, 步骤
vt.
移动, 感动, 鼓动
vi.
移动, 离开, 运行, 迁移, 搬家"
208,like,"[laik]
n.
爱好, 同样的人(或物)
adj.
相似的, 同样的
vt.
喜欢, 希望, 愿意
vi.
喜欢, 希望
prep.
象, 如同
adv.
可能"
209,night,"[nait]
n.
夜, 夜晚, 黑暗, 死亡"
210,live,"[liv]
adj.
活的, 生动的, 精力充沛的, 实况转播的, 点燃的
vi.
活着, 生活, 居住, 流在人们记忆中
vt.
过着, 度过, 经历
adv.
以实况地"
211,Mr,
212,point,"[pɔint]
n.
点, 尖端, 分数, 要点, 分数
vt.
弄尖, 指向, 指出, 瞄准, 加标点于
vi.
指, 指向, 表明"
213,believe,"[bi'li:v]
v.
有坚定的宗教信仰的, 相信, 信任, 认为, 想"
214,hold,"[hәuld]
n.
把握, 把持力, 柄, 控制, 监禁, 掌握, 货舱
vt.
拿着, 保存, 支持, 占据, 持有, 拥有
vi.
支持, 保持, 有效
n.
控制, 保留"
215,today,"[tә'dei]
adv.
今天, 现今
n.
今天, 现今"
216,bring,"[briŋ]
vt.
拿来, 带来, 产生, 引起, 提出(诉讼)
vi.
停下"
217,happen,"['hæpәn]
vi.
发生, 碰巧, 偶然
v.
发生, 恰巧, 偶然发现"
218,next,"[nekst]
n.
adj.下次的, 其次的, 与...连接, 下一个
adv.
下一次, 其次"
219,without,"[wið'aut]
prep.
没有, 不, (表条件)如果没有, 要没有
adv.
在外, 在屋外"
220,before,"[bi'fɔ:]
adv.
在前, 以前
prep.
在...之前
conj.
在...之前, 与其...宁可"
221,large,"[lɑ:dʒ]
adj.
大的, 巨大的, 宽大的, 夸大的
adv.
大大地, 夸大地, 顺风地
n.
大"
222,all,"[ɔ:l]
adj.
全部的, 所有的, 整个的
adv.
完全, 更加, 越发
pron.
全部"
223,million,"['miljәn]
num.
百万, 百万个
n.
无数"
224,must,"[mʌst; mәst]
aux.
必须, 应当, 很可能, 一定, 必须, 肯定, 可以"
225,home,"[hәum]
n.
家, 住宅, 家乡, 本国, 产地, 避难所
adj.
家庭的, 国内的, 有效的
adv.
在家, 回家, 深入地, 在本国"
226,under,"['ʌndә]
prep.
在...之下, 在...之内, 在...领导下, 低于, 假借
adv.
在下"
227,water,"['wɔ:tә]
n.
水, 雨水, 海水, 水位, 水面, 流体
vt.
喷淋, 供以水, 注入水, 使湿
vi.
流泪, 加水
adj.
水的, 水上的, 水生的, 含水的"
228,room,"[ru:m, rum]
n.
房间, 屋子, 寓所, 场所, 地位, 空间, 机会, 余地"
229,write,"[rait]
vt.
书写, 著述, 写, 写满, 写信给
vi.
写, 写字, 写信, 写作, 作曲"
230,mother,"['mʌðә]
n.
母亲, 妈妈"
231,area,"['єәriә]
n.
范围, 区域, 面积, 地区, 空地"
232,national,"['næʃәnәl]
adj.
国家的, 国立[有]的, 民族的"
233,money,"['mʌni]
n.
货币, 钱, 金钱"
234,story,"['stɔ:ri]
n.
故事, 小说, 传说, 事迹, 经历, 假话, 谎话"
235,young,"[jʌŋ]
adj.
年轻的, 年纪小的, 没有经验的, 尚早的, 初期的
n.
(动物的)崽, 仔"
236,fact,"[fækt]
n.
事实, 实际, 实情, 真相, (犯罪)行为, 论据"
237,month,"[mʌnθ]
n.
月"
238,different,"['difrәnt]
adj.
不同的"
239,lot,"[lɔt]
n.
签, 抽签, 一堆, 许多, 命运, 一块地, 份额
vt.
划分
vi.
抽签, 抓阄"
240,right,"[rait]
n.
正义, 公正, 正确, 权利, 右边, 右派
adj.
正当的, 正确的, 对的, 合适的, 恰当的, 健康的, 健全的, 正面的
adv.
正当地, 正确地, 一直地, 直接地, 完全地, 彻底地, 在右边"
241,study,"['stʌdi]
n.
学习, 研究, 学科, 试作, 论文, 求学, 努力, 书房
vt.
学习, 攻读, 研究, 考虑, 计划
vi.
学习, 试图"
242,book,"[buk]
n.
书, 书籍, 卷, 篇, 帐簿, 名册, 工作簿
v.
登记, 预订, 控告"
